date_time,date_time,date_time,temperature,himidity,6.5um,sfr,10um,12um,14um,16um,PM2.5,Bin1MTOF,8um,Bin5MTOF,PM1,Bin7MTOF,Checksum,Bin3MTOF,PM10,4um,5um,2.1um,3um,1.3um,1.6um,0.78um,1um,0.38um,0.54um,samplingPeriod
23,19,39,27.0,63.05882352941177,0.0076062307715882346,2.580580136354706,0.0,0.0,0.0,0.0,9.578843172860003,15.235294117643532,0.0,27.6862745098,1.902975524172941,20.43137254901765,81.3529411764706,19.98039215686471,17.06940275078823,0.008322455138641176,0.022518104879117647,2.3701697312541175,0.09013071468652942,0.8950544998872942,1.908279880867647,1.2022405289991762,2.031523309476706,0.0,0.23870506206458827,3.603572677163529
23,19,40,27.0,64.88235294117646,0.008266303327941177,2.3016863149741162,0.007939268238117646,0.0,0.0,0.008266694289705882,8.921864172988823,10.17647058822353,0.008053895978,27.76470588234118,1.7819949563819408,13.647058823535293,63.588235294117645,19.686274509805884,23.279984530282352,0.044965722893758824,0.01633032691182353,2.0770993169264704,0.05679181607764706,1.0417843160854705,1.7914353996376473,1.1403744861314709,1.9841079647917643,0.0,0.138035002919,3.306868707431765
23,19,41,27.0,66.4375,0.0,2.1851754784575004,0.0,0.0,0.0,0.0,8.912939101459374,16.166666666665,0.0091544096765625,27.99999999999375,1.730025187134375,19.91666666666875,61.9375,19.10416666666875,16.631059587000003,0.0181437750154375,0.0049069992312625,2.128178408343,0.09279803087951251,0.874273421537875,1.9501071864368753,1.125527454664625,1.8339037350799998,0.0,0.14061398700926248,3.475183978675625
23,19,42,27.0,67.72222222222223,0.013064046648416667,2.107946753501667,0.0,0.0,0.0,0.0,9.350136280059441,7.370370370366667,0.0,28.48148148148333,1.8508844044482222,45.40740740741668,58.0,19.537037037033333,17.273041910599442,0.016612888839444444,0.008374045243333333,2.3433227145732776,0.1796460140471944,0.8005541208882777,1.6584848033109443,1.3669322676036666,1.8615854036010557,0.016972632218666666,0.06339874948475001,3.2985184987383334
23,19,43,27.0,68.63157894736842,0.0,2.0737828330021055,0.008044252994578947,0.0,0.0,0.0,6.802763763226842,2.526315789473684,0.008044742253789473,26.57894736841579,0.8408079994352633,25.99999999999474,38.1578947368421,22.070175438594738,18.158743783053154,0.03213976026163158,0.016072197603263158,2.1704636458231574,0.12861772543857897,0.7315707022224737,1.3824882623570525,0.4260507824172631,0.9082350061418949,0.0,0.016090355266368418,3.157498372227895
23,19,44,27.058823529411764,67.17647058823529,0.0,2.069170096344707,0.0,0.0,0.0,0.0,6.25634602939294,1.019607843135294,0.0,30.43137254902353,0.7605615433525882,23.901960784311765,36.76470588235294,22.137254901970586,12.815712171432939,0.017980118714117647,0.027046672282999996,2.072602569328235,0.11706749959335296,0.6322969742404119,1.1097134941984117,0.3189378594175294,1.0777574977996471,0.0,0.018039060116235295,3.305792009128824
23,19,45,27.0,65.33333333333333,0.0,2.062058726948333,0.0,0.0,0.0,0.008572758438944443,6.555281135771112,1.6111111111111112,0.0,28.31481481481111,0.7999969174463889,32.07407407407778,38.22222222222222,22.27777777778333,16.645917918943336,0.034093398150111115,0.034080368198666666,2.0969413828588888,0.16220211146183333,0.6199311837128889,1.193897161674444,0.3451637802307778,1.1347197443104442,0.0,0.01709053634422222,3.298352572653889
23,19,46,27.0,63.625,0.0097969480490625,1.606587409973125,0.0163763066619375,0.0,0.0,0.0,25.071799755104376,13.31249999999375,0.0,28.70833333333125,10.188688552008873,29.58333333333125,112.375,23.2916666666625,42.50973337888625,0.0617967674001875,0.01355323829475,3.519744312633125,0.168608452626625,1.978937727338625,4.3543915373315,3.9157503705793126,2.16999677825375,2.3793695175203746,8.221186649929125,3.6318133473393748
23,19,47,27.0,62.23529411764706,0.03312672508658824,1.1274149838617644,0.015527754096411765,0.026736402944588237,0.0,0.0,41.19172191618823,18.568627450988235,0.017125245839941176,29.49019607842353,17.027556545594706,25.764705882357056,172.58823529411765,21.941176470582352,81.46132704794707,0.0332493817662353,0.06461581347711765,5.7925554561717645,0.15934455855964705,3.1272541434441763,7.384848352558824,6.573075733008234,2.882691639978412,4.1095237696829425,13.93988632957747,3.4575749144835295
23,19,48,27.0,61.875,0.0,1.0993574485175002,0.0177847003368125,0.0368082947599375,0.0,0.0102639728078125,48.52254676818125,22.45833333333125,0.0,29.583333333325,19.953407883625005,26.5,207.5625,21.645833333325,92.87860536566878,0.18046887606974998,0.04326139371625,6.4504523905556255,0.27377046545062506,3.67331431290875,9.020071094197501,7.997882802599376,3.4589940532381247,5.339810425450626,15.601468543012498,3.633034676313125
23,19,49,27.0,61.94444444444444,0.032805599993166665,1.1257933047083333,0.01517558771338889,0.01576486721505556,0.01626081242072222,0.01606453887261111,49.430323918672215,21.92592592592778,0.03226161360194445,28.7962962963,20.060694058750002,29.962962962961107,186.77777777777777,24.59259259258889,105.23599561052222,0.11071449031433334,0.07822579910994445,7.245266048954998,0.2963564255347222,3.811927166192222,8.394055983757221,7.833593453424445,3.6791214425627774,5.145633198185555,16.01612924296667,3.1562501059638883
23,19,50,27.0,62.0,0.0,1.0934154496458826,0.0,0.0,0.0,0.0,53.06598124784707,22.56862745098235,0.07125929043582353,27.8431372549,22.460448096782358,16.80392156863118,219.23529411764707,24.745098039211765,91.36593740122942,0.035072085658294117,0.05049714943111765,7.850285947095294,0.20679878183552944,3.481551259682353,9.528432283928824,7.374848495651176,2.844290120064353,6.862229462768235,19.64553486994706,3.455991226083529
