date_time,date_time,date_time,pm2.5_nova,pm10_nova
23,19,37,13.4692307692,22.3564102564
23,19,38,13.5043478261,19.8543478261
23,19,39,13.4043478261,18.8826086957
23,19,40,13.4347826087,20.3847826087
23,19,41,14.1282608696,20.902173913
23,19,42,14.4217391304,23.7586956522
23,19,43,13.6622222222,21.2888888889
23,19,44,14.052173913,22.9173913043
23,19,45,13.747826087,23.9217391304
23,19,46,13.1695652174,20.15
23,19,47,12.9434782609,20.7717391304
23,19,48,13.0108695652,21.002173913
23,19,49,13.1130434783,21.1695652174
23,19,50,12.5173913043,21.4043478261
23,19,51,12.3456521739,20.8391304348
23,19,52,12.4333333333,21.5177777778
23,19,53,12.6913043478,20.2847826087
23,19,54,12.6673913043,20.5152173913
23,19,55,12.7,19.5434782609
23,19,56,12.6782608696,21.3695652174
23,19,57,12.9934782609,19.7608695652
23,19,58,12.8413043478,20.0326086957
23,19,59,13.2,21.8347826087
23,20,0,13.05,21.8065217391
23,20,1,12.7391304348,19.8630434783
23,20,2,12.6955555556,19.0977777778
23,20,3,12.9934782609,21.3195652174
23,20,4,13.6130434783,22.5326086957
23,20,5,13.4869565217,22.9326086957
23,20,6,13.1,20.7
23,20,7,13.6326086957,21.4891304348
23,20,8,13.6891304348,23.2956521739
23,20,9,13.7195652174,20.7695652174
23,20,10,13.6934782609,22.4304347826
23,20,11,13.9066666667,21.7266666667
23,20,12,14.0043478261,22.3413043478
23,20,13,13.95,21.9934782609
23,20,14,14.4195652174,23.3413043478
23,20,15,14.4,24.7673913043
23,20,16,14.5108695652,24.8347826087
23,20,17,14.4260869565,21.65
23,20,18,14.6826086957,23.6347826087
23,20,19,14.6608695652,23.4108695652
23,20,20,15.1911111111,25.0644444444
23,20,21,14.8239130435,24.1173913043
23,20,22,14.6260869565,23.4347826087
23,20,23,14.1543478261,23.3152173913
23,20,24,14.2,20.7413043478
23,20,25,14.6391304348,22.7304347826
23,20,26,14.4239130435,21.4630434783
23,20,27,14.5608695652,22.5565217391
23,20,28,14.9177777778,24.18
23,20,29,14.747826087,24.1717391304
23,20,30,14.9717391304,23.3043478261
23,20,31,15.2173913043,25.3673913043
23,20,32,14.9695652174,24.5630434783
23,20,33,15.2152173913,23.4260869565
23,20,34,15.652173913,24.3434782609
23,20,35,15.352173913,23.7608695652
23,20,36,15.3282608696,24.3869565217
23,20,37,15.3622222222,25.7244444444
23,20,38,15.4043478261,23.35
23,20,39,15.7,25.0804347826
23,20,40,15.1239130435,23.95
23,20,41,14.9630434783,25.0673913043
23,20,42,14.552173913,22.65
23,20,43,15.5217391304,24.4347826087
23,20,44,14.5630434783,21.2956521739
23,20,45,15.1065217391,23.0130434783
23,20,46,15.5088888889,23.5333333333
23,20,47,15.4413043478,24.3608695652
23,20,48,15.2239130435,24.4760869565
23,20,49,15.502173913,25.0086956522
23,20,50,15.0282608696,22.7043478261
23,20,51,15.5543478261,23.6717391304
23,20,52,15.0108695652,21.4173913043
23,20,53,15.347826087,22.6695652174
23,20,54,15.0913043478,23.1630434783
23,20,55,15.1333333333,22.2844444444
23,20,56,15.0043478261,23.15
23,20,57,15.5760869565,25.95
23,20,58,15.552173913,23.6869565217
23,20,59,15.5630434783,23.9869565217
23,21,0,15.1173913043,23.752173913
23,21,1,15.0304347826,23.2695652174
23,21,2,15.5804347826,23.7391304348
23,21,3,15.1622222222,22.5533333333
23,21,4,15.1108695652,22.0913043478
23,21,5,14.9804347826,21.997826087
23,21,6,15.2782608696,22.452173913
23,21,7,15.2804347826,22.6369565217
23,21,8,15.3630434783,23.3130434783
23,21,9,15.1956521739,23.5347826087
23,21,10,15.3630434783,23.0260869565
23,21,11,14.8739130435,23.4369565217
23,21,12,15.4177777778,23.3644444444
23,21,13,15.6782608696,24.9065217391
23,21,14,15.8217391304,24.4217391304
23,21,15,15.3586956522,23.8413043478
23,21,16,15.6652173913,23.6673913043
23,21,17,15.0434782609,22.4652173913
23,21,18,15.1260869565,23.3869565217
23,21,19,15.3760869565,22.9217391304
23,21,20,14.6844444444,22.8066666667
23,21,21,15.0195652174,22.9239130435
23,21,22,15.1565217391,21.8782608696
23,21,23,15.3152173913,22.1108695652
23,21,24,14.8260869565,21.3652173913
23,21,25,14.6652173913,20.7673913043
23,21,26,15.1326086957,22.0739130435
23,21,27,14.6891304348,22.4391304348
23,21,28,15.3711111111,22.0311111111
23,21,29,15.0652173913,22.3260869565
