date,PM10,PM2.5,PM1
5/23/2019 7:28:31 PM,33.2,20.7,15.1
5/23/2019 7:28:37 PM,36.8,19.8,14.5
5/23/2019 7:28:43 PM,34.7,21.7,15.9
5/23/2019 7:28:49 PM,42,23.8,16.2
5/23/2019 7:28:55 PM,43.7,22.1,15.8
5/23/2019 7:29:01 PM,30.5,22.6,16.4
5/23/2019 7:29:07 PM,47.4,22.8,15.5
5/23/2019 7:29:13 PM,49.1,20.9,15.4
5/23/2019 7:29:19 PM,39.4,19.5,14.9
5/23/2019 7:29:25 PM,25.5,20.2,16
5/23/2019 7:29:31 PM,44.1,20.8,16
5/23/2019 7:29:37 PM,46.1,20,15.8
5/23/2019 7:29:43 PM,34.6,19.1,15.5
5/23/2019 7:29:49 PM,66.2,22.7,16.4
5/23/2019 7:29:55 PM,32.8,22.4,15.9
5/23/2019 7:30:01 PM,69.6,23.7,16.2
5/23/2019 7:30:07 PM,34.4,19.9,15.3
5/23/2019 7:30:13 PM,48.9,21.5,15.5
5/23/2019 7:30:19 PM,33.8,24.5,16.6
5/23/2019 7:30:25 PM,88.8,20.1,15.9
5/23/2019 7:30:31 PM,51.1,21,15.6
5/23/2019 7:30:37 PM,45.6,18.9,15.4
5/23/2019 7:30:43 PM,40.6,22.2,15.9
5/23/2019 7:30:49 PM,53.7,20.6,15.9
5/23/2019 7:30:55 PM,38.9,22.7,15.7
5/23/2019 7:31:01 PM,41.6,20.8,16.2
5/23/2019 7:31:07 PM,61.1,18.2,15.3
5/23/2019 7:31:13 PM,57.7,23.1,16.3
5/23/2019 7:31:19 PM,61,21,15.7
5/23/2019 7:31:25 PM,44.3,20.1,15.4
5/23/2019 7:31:31 PM,61.3,24.6,16.8
5/23/2019 7:31:37 PM,40.8,20.4,15.5
5/23/2019 7:31:43 PM,61.5,22.4,15.3
5/23/2019 7:31:49 PM,47.1,21.3,16.1
5/23/2019 7:31:55 PM,62.9,21.7,15.6
5/23/2019 7:32:01 PM,59.2,18.9,15.5
5/23/2019 7:32:07 PM,52.7,19.6,14.8
5/23/2019 7:32:13 PM,77.7,20.4,15.4
5/23/2019 7:32:19 PM,51.9,23.9,16.5
5/23/2019 7:32:25 PM,62.7,18.8,15.5
5/23/2019 7:32:31 PM,50.3,22.4,16
5/23/2019 7:32:37 PM,41.2,19.1,14.9
5/23/2019 7:32:43 PM,38.8,20.8,15.3
5/23/2019 7:32:49 PM,34.8,18.9,15.3
5/23/2019 7:32:55 PM,65,18.6,14.9
5/23/2019 7:33:01 PM,54,18.7,14.4
5/23/2019 7:33:07 PM,27.1,20.2,15.2
5/23/2019 7:33:13 PM,43,20.7,14.7
5/23/2019 7:33:19 PM,51.4,22.7,15.1
5/23/2019 7:33:25 PM,42.7,19.6,15
5/23/2019 7:33:31 PM,58.1,19.8,15.1
5/23/2019 7:33:37 PM,43,20.4,14.9
